,2030,2050
totalHeatDemand,42.4,30.391
coalBoilerEfficiency,0.97,0.98
oilBoilerEfficiency,0.87,0.88
nGasBoilerEfficiency,0.97,0.98
biomassBoilerEfficiency,0.78,0.8
efficiencyDieselCar,0.442,0.336
efficiencyEVCar,0.133,0.106
efficiencyH2Car,0.239,0.181
totalKMRunByCars,129572000.0,137674000.0
efficiencyElectrolyzer,0.7217,0.7535
nGasCoeff1,0.38,0.4
nGasCoeff2,0.48,0.5
nGasHeatCoeff,0.0391,0.0399
biomassCoeff1,5.5,5.3
biomassCoeff2,0.18,0.20
biomassCoeff3,0.67,0.70
biomassCoeff4,0.0083,0.0085
gridCost,213.61,236.31
gridCostCoeff,0.48,0.486
H2CostCoeff,0.97,0.98
H2Cost,58.81,72.59
H2CarsCost,32.491,26.761
H2CarsCoeff1,1.7,0.7
H2CarsCoeff2,0.025,0.0304
H2CarsCoeff3,0.0418,0.0732
buildingCost,17.826,21.249
electrolyzerInvestmentUnitCost,0.742,0.598
electrolyzerOMUnitCost,13.0,13.0
lifeTime,9,11
totalLand,310264,660086
PVCapCoeff1,0.125,0.133
PVCapCoeff2,705,720
